word,meaning,pos,language_id,meaning_language_id,dictionary_id,
ಅಂತಕ್ಹಚ್ಚು ,"ಅಂತಃಕರಣಕ್ಕೆ ಹಚ್ಚಿಕೊ, ಪ್ರೀತಿಸು",NULL,1,1,6,
ಅಂತರ ,ಗುಟ್ಟು; ವ್ಯತ್ಯಾಸ; ಆಲಸ್ಯ; ದೂರ,NULL,1,1,6,
ಅಂತರಂಗದಾಸೆ ,ಉತ್ಕಟಪ್ರೇಮ,NULL,1,1,6,
ಅಂತರಾಯ ,"ವಿಘ್ನ, ತೊಂದರೆ",NULL,1,1,6,
ಅಂತರಾವೇದಿ ,"ಅಂತರ್ವೇದಿ; ಗಂಗಾ ಯಮುನಾನದಿಗಳ ನಡುವಣ ಪ್ರದೇಶ-ಬ್ರಹ್ಮಾವರ್ತ""",NULL,1,1,6,
ಅಂತರಿಕ್ಷ ,ಆಕಾಶ,NULL,1,1,6,
ಅಂತರ್ಗತ ,ಒಳಗೊಂಡ,NULL,1,1,6,
ಅಂತರ್ಯಾಮಿ ,"ಪರಮಾತ್ಮ, ಒಳಗೆ ಅಡಗಿದವ",NULL,1,1,6,
ಅಂತವಿಲ್ಲದಪದ ,ಮುಕ್ತಿ,NULL,1,1,6,
ಅಂತಸ್ಸು ,ಅಂತರಂಗ,NULL,1,1,6,
ಅಂತಿಗಂತೆ ,ಯಮನೇ ಅಹುದಂತೆ,NULL,1,1,6,
ಅಂತಿಜ<ಅಂತ್ಯಜ ,ಶೂದ್ರ ಜನ್ಮ (ನಾರದರಿಗೆ ಪೂರ್ವ ಜನ್ಮ); ಹೊಲೆಯ; ಕೊಲೆಗಡುಕ,NULL,1,1,6,
ಅಂತಿಯ ,"ಅಂತ್ಯ, ಕೊನೆ",NULL,1,1,6,
ಅಂತು ,"ಅಂತ್ಯ, ಕೊನೆ, ತುದಿ; ಗುಟ್ಟು; ಮಹಿಮೆ",NULL,1,1,6,
ಅಂತುಮಹಿಮೆ ,"ನಿಗೂಢ ಮಹಿಮೆ, ವೇದೋಕ್ತ ಮಹಿಮೆ",NULL,1,1,6,
ಅಂತೇವಾಸಿ ,ಗುರುವಿನ ಮನೆಯಲ್ಲೇ ಇದ್ದು ಓದುವ ಶಿಷ್ಯ; ಚಂಡಾಲ,NULL,1,1,6,
ಅಂತ್ಯಜಳು ,"ಹೊಲತಿ, ಶೂದ್ರಳು; ಚಂಡಾಲ ಸ್ತ್ರೀ",NULL,1,1,6,
ಅಂದ ,"ಚೆಲುವು, ಸುಂದರ",NULL,1,1,6,
ಅಂದಣ ,"ಪಲ್ಲಕ್ಕಿ, ಮೇನೆ",NULL,1,1,6,
